portfolio_id,security,original_quantity,crossed_quantity,remaining_quantity,trade_direction
S-17147,SW US,10800,0,10800,BUY
P-47227,SW US,4500,0,4500,BUY
S-17147,FERG US,-2400,0,-2400,SELL
S-17147,AMTM US,-6754,0,-6754,SELL
S-17147,BLK US,-4200,0,-4200,SELL
S-17147,SNDK US,-5166,-1400,-3766,SELL
S-17147,APTV US,-10000,0,-10000,SELL
S-17147,BEPC US,-9800,0,-9800,SELL
P-47227,RAL US,10000,2200,7800,BUY
P-36182,RAL US,7400,0,7400,BUY
S-17147,RKLB US,14000,0,14000,BUY
P-36182,RKLB US,39000,0,39000,BUY
S-17147,GLIBK US,1400,0,1400,BUY
P-47227,GLIBK US,8500,0,8500,BUY
S-17147,ABT US,-11800,-800,-11000,SELL
S-17147,AMD US,85400,0,85400,BUY
P-36182,AMD US,11800,0,11800,BUY
S-17147,AFL US,-17600,0,-17600,SELL
P-36182,AFL US,-1000,0,-1000,SELL
S-17147,HON US,-2400,0,-2400,SELL
P-36182,HON US,-11000,0,-11000,SELL
S-17147,AXP US,-6000,0,-6000,SELL
S-17147,AIG US,-20400,0,-20400,SELL
P-36182,AIG US,-1400,0,-1400,SELL
S-17147,ADI US,-26600,0,-26600,SELL
S-17147,ADM US,-7600,-3500,-4100,SELL
S-17147,ARW US,-400,0,-400,SELL
S-17147,ATO US,-600,0,-600,SELL
P-36182,ATO US,-800,0,-800,SELL
S-17147,ADP US,9800,0,9800,BUY
S-17147,AZO US,-600,0,-600,SELL
P-36182,AZO US,-200,0,-200,SELL
S-17147,AVY US,1400,0,1400,BUY
P-36182,AVY US,1400,0,1400,BUY
S-17147,BALL US,-9800,0,-9800,SELL
S-17147,BK US,-28600,0,-28600,SELL
P-36182,BK US,-1000,0,-1000,SELL
S-17147,BAX US,-3400,0,-3400,SELL
P-36182,BAX US,-4200,0,-4200,SELL
S-17147,AIT US,1400,0,1400,BUY
S-17147,BDX US,-2000,0,-2000,SELL
P-36182,BDX US,-5800,0,-5800,SELL
S-17147,VZ US,-73000,0,-73000,SELL
S-17147,BBY US,-7800,0,-7800,SELL
S-17147,BA US,20000,0,20000,BUY
P-36182,BA US,2600,0,2600,BUY
S-17147,BSX US,1800,0,1800,BUY
P-93050,BMY US,1346000,25800,1320200,BUY
S-17147,BF/B US,-12100,0,-12100,SELL
S-17147,BC US,4800,0,4800,BUY
P-47227,BC US,3500,0,3500,BUY
S-17147,CDNS US,-1000,0,-1000,SELL
S-17147,CPB US,-3600,0,-3600,SELL
S-17147,CSL US,-800,0,-800,SELL
P-36182,CSL US,-400,0,-400,SELL
S-17147,CRS US,2800,0,2800,BUY
P-36182,CRS US,6600,0,6600,BUY
S-17147,CAT US,-6600,0,-6600,SELL
S-17147,JPM US,-54200,0,-54200,SELL
P-36182,JPM US,-2400,0,-2400,SELL
S-17147,CHD US,7600,0,7600,BUY
P-36182,CHD US,1200,0,1200,BUY
S-17147,CLX US,-2800,0,-2800,SELL
S-17147,CMS US,-24600,0,-24600,SELL
S-17147,KO US,-124200,-1600,-122600,SELL
S-17147,CL US,-18800,0,-18800,SELL
