cross_id,security,quantity_crossed,buyer_portfolio,seller_portfolio,buyer_original_quantity,seller_original_quantity
a93edb5f-083c-4d9b-8e21-0c3545318738,FIS US,1600,P-36182,S-17147,1600,-8200
8a8b81b0-8dd7-4843-88e7-00ac415f6359,ORLY US,4800,P-93050,P-36182,8000,-4800
d120b267-70cd-48d0-9c85-8ccec9940dcf,COLB US,26816,P-47227,P-61230,38000,-26816
f5b27a73-f061-4edb-9cef-214d08d57295,HR US,6000,P-47227,P-36182,11000,-6000
5ce3d9c9-3284-4c8c-b5ce-692a7a2b8fe5,TRGP US,3200,P-36182,P-47227,3200,-4000
d3134901-0c60-4732-96ef-c9e904633bfe,FIVE US,800,P-36182,P-47227,800,-1500
bb126162-67c1-48f4-a419-17e1ac80a112,FANG US,6000,P-36182,P-47227,20000,-6000
3bd50ca3-e7e8-42f5-bc80-f5d467c6e8cc,ROIV US,7400,P-47227,P-36182,15000,-7400
2d06cb41-8875-433e-9ca1-cc5025237a34,ELF US,800,P-36182,P-47227,800,-1500
2c564eb6-e39e-40aa-a19f-d412258790eb,TER US,2000,P-36182,P-47227,2200,-2000
4c80c416-63c1-4763-a231-3b137cc59a30,RRC US,3800,P-36182,P-47227,3800,-14000
6a25adc3-b65c-4faf-be91-8423be07a9f7,VRSN US,400,P-47227,P-36182,1500,-400
